Time[s],Time[hh:mm:ss],HR[bpm],RR[ms]
0.31,00:00:00,101,597.66
0.31,00:00:00,,597.66
1.29,00:00:01,101,600.59
1.29,00:00:01,,621.09
2.26,00:00:02,101,644.53
3.29,00:00:03,100,621.09
3.29,00:00:03,,605.47
5.27,00:00:05,100,597.66
5.27,00:00:05,99,625.00
5.27,00:00:05,,640.62
6.2,00:00:06,98,652.34
7.25,00:00:07,97,632.81
7.25,00:00:07,,621.09
8.17,00:00:08,96,628.91
8.17,00:00:08,,648.44
9.2,00:00:09,95,660.16
10.15,00:00:10,94,640.62
10.15,00:00:10,,625.00
11.07,00:00:11,94,632.81
12.17,00:00:12,94,648.44
12.17,00:00:12,,679.69
13.22,00:00:13,94,667.97
14.15,00:00:14,93,644.53
14.15,00:00:14,,632.81
15.17,00:00:15,93,636.72
16.11,00:00:16,93,636.72
16.11,00:00:16,,625.00
17.14,00:00:17,94,609.38
17.14,00:00:17,,617.19
18.06,00:00:18,95,636.72
19.02,00:00:19,95,663.09
19.02,00:00:19,,640.62
20.06,00:00:20,95,613.28
21.09,00:00:21,96,613.28
21.09,00:00:21,,617.19
22.02,00:00:22,96,632.81
22.02,00:00:22,,617.19
23.05,00:00:23,96,601.56
24.09,00:00:24,97,617.19
24.09,00:00:24,,625.00
25.01,00:00:25,97,644.53
26.06,00:00:26,96,660.16
26.06,00:00:26,,640.62
27.01,00:00:27,96,613.28
27.01,00:00:27,,601.56
27.93,00:00:27,96,625.00
28.97,00:00:28,95,640.62
28.97,00:00:28,,656.25
29.99,00:00:29,95,636.72
31.02,00:00:31,95,632.81
31.02,00:00:31,,656.25
31.95,00:00:31,95,691.41
32.98,00:00:32,94,691.41
32.98,00:00:32,,660.16
33.94,00:00:33,93,625.00
34.98,00:00:34,93,617.19
34.98,00:00:34,,660.16
35.9,00:00:35,93,718.75
36.93,00:00:36,92,752.93
36.93,00:00:36,,722.66
37.87,00:00:37,92,714.84
38.91,00:00:38,93,746.09
39.84,00:00:39,91,773.44
39.84,00:00:39,,750.00
40.87,00:00:40,89,683.59
41.81,00:00:41,88,671.88
41.81,00:00:41,,683.59
42.87,00:00:42,87,703.12
43.8,00:00:43,87,726.56
44.85,00:00:44,87,675.78
44.85,00:00:44,,652.34
45.79,00:00:45,88,671.88
46.82,00:00:46,88,710.94
46.82,00:00:46,,753.91
47.76,00:00:47,87,703.12
48.79,00:00:48,88,671.88
48.79,00:00:48,,687.50
49.72,00:00:49,87,710.94
50.79,00:00:50,86,718.75
50.79,00:00:50,,691.41
51.72,00:00:51,86,660.16
52.76,00:00:52,87,656.25
52.76,00:00:52,,656.25
53.69,00:00:53,87,664.06
54.72,00:00:54,89,674.80
54.72,00:00:54,,660.16
55.75,00:00:55,90,656.25
56.69,00:00:56,90,695.31
58.68,00:00:58,90,718.75
58.68,00:00:58,,703.12
59.71,00:00:59,90,660.16
60.65,00:01:00,90,648.44
60.65,00:01:00,,656.25
61.69,00:01:01,90,679.69
62.62,00:01:02,90,687.50
62.62,00:01:02,,667.97
63.65,00:01:03,90,652.34
64.7,00:01:04,90,664.06
64.7,00:01:04,,679.69
65.65,00:01:05,90,703.12
66.57,00:01:06,90,660.16
