Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],HR[bpm],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH],RR[ms],Time
1,00:00:01,0.0,0.0,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.58,2021-12-01 19:20:31
2,00:00:02,0.0,0.0,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.3,2021-12-01 19:20:32
3,00:00:03,0.0,0.0,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,2021-12-01 19:20:33
4,00:00:04,25.85,1889.67,160,31.08,1.43,44.71,23.66,15.32,996.4,25.28,42.96,374.35,2021-12-01 19:20:34
5,00:00:05,0.0,0.0,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,2021-12-01 19:20:35
6,00:00:06,0.0,0.0,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.02,2021-12-01 19:20:36
7,00:00:07,0.0,0.0,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,2021-12-01 19:20:37
8,00:00:08,0.0,0.0,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,2021-12-01 19:20:38
9,00:00:09,0.0,0.0,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,2021-12-01 19:20:39
10,00:00:10,0.0,0.0,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.74,2021-12-01 19:20:40
11,00:00:11,0.0,0.0,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.19,2021-12-01 19:20:41
12,00:00:12,0.0,0.0,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.19,2021-12-01 19:20:42
13,00:00:13,0.0,0.0,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.09,2021-12-01 19:20:43
14,00:00:14,0.0,0.0,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,2021-12-01 19:20:44
15,00:00:15,0.0,0.0,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.53,2021-12-01 19:20:45
16,00:00:16,0.0,0.0,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.79,2021-12-01 19:20:46
17,00:00:17,0.0,0.0,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.09,2021-12-01 19:20:47
18,00:00:18,0.0,0.0,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.09,2021-12-01 19:20:48
19,00:00:19,0.0,0.0,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.99,2021-12-01 19:20:49
20,00:00:20,0.0,0.0,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.28,2021-12-01 19:20:50
21,00:00:21,0.0,0.0,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.19,2021-12-01 19:20:51
22,00:00:22,0.0,0.0,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.28,2021-12-01 19:20:52
23,00:00:23,0.0,0.0,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.19,2021-12-01 19:20:53
24,00:00:24,0.0,0.0,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.19,2021-12-01 19:20:54
25,00:00:25,0.0,0.0,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.19,2021-12-01 19:20:55
26,00:00:26,0.0,0.0,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.19,2021-12-01 19:20:56
27,00:00:27,0.0,0.0,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.19,2021-12-01 19:20:57
28,00:00:28,0.0,0.0,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.98,2021-12-01 19:20:58
29,00:00:29,0.0,0.0,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.58,2021-12-01 19:20:59
30,00:00:30,0.0,0.0,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.68,2021-12-01 19:21:00
31,00:00:31,0.0,0.0,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.84,2021-12-01 19:21:01
32,00:00:32,0.0,0.0,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.84,2021-12-01 19:21:02
33,00:00:33,0.0,0.0,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.84,2021-12-01 19:21:03
34,00:00:34,0.0,0.0,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.51,2021-12-01 19:21:04
35,00:00:35,0.0,0.0,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.19,2021-12-01 19:21:05
36,00:00:36,0.0,0.0,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.19,2021-12-01 19:21:06
37,00:00:37,0.0,0.0,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.19,2021-12-01 19:21:07
38,00:00:38,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.79,2021-12-01 19:21:08
39,00:00:39,0.0,0.0,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.98,2021-12-01 19:21:09
40,00:00:40,0.0,0.0,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.56,2021-12-01 19:21:10
41,00:00:41,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.28,2021-12-01 19:21:11
42,00:00:42,21.04,1538.0,166,27.64,1.42,39.41,25.62,15.78,1002.1,25.3,54.75,367.19,2021-12-01 19:21:12
43,00:00:43,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.19,2021-12-01 19:21:13
44,00:00:44,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.98,2021-12-01 19:21:14
45,00:00:45,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.94,2021-12-01 19:21:15
46,00:00:46,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.68,2021-12-01 19:21:16
47,00:00:47,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.28,2021-12-01 19:21:17
48,00:00:48,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.15,2021-12-01 19:21:18
49,00:00:49,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.47,2021-12-01 19:21:19
50,00:00:50,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.38,2021-12-01 19:21:20
51,00:00:51,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.98,2021-12-01 19:21:21
52,00:00:52,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.98,2021-12-01 19:21:22
53,00:00:53,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.89,2021-12-01 19:21:23
54,00:00:54,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.38,2021-12-01 19:21:24
55,00:00:55,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.92,2021-12-01 19:21:25
56,00:00:56,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.07,2021-12-01 19:21:26
57,00:00:57,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.31,2021-12-01 19:21:27
58,00:00:58,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.31,2021-12-01 19:21:28
59,00:00:59,0.0,0.0,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.31,2021-12-01 19:21:29
60,00:01:00,0.0,0.0,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.06,2021-12-01 19:21:30
61,00:01:01,0.0,0.0,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.29,2021-12-01 19:21:31
62,00:01:02,0.0,0.0,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.56,2021-12-01 19:21:32
