Time[s],Time[hh:mm:ss],HR[bpm],RR[ms]
0.62,00:00:00,159,378.91
0.62,00:00:00,,378.91
0.62,00:00:00,,377.93
1.58,00:00:01,159,367.19
1.58,00:00:01,,375.00
1.58,00:00:01,,386.72
2.68,00:00:02,159,750.00
3.52,00:00:03,159,371.09
3.52,00:00:03,160,375.00
3.52,00:00:03,,382.81
3.52,00:00:03,,375.00
3.52,00:00:03,,367.19
3.52,00:00:03,,375.00
5.48,00:00:05,160,375.00
5.48,00:00:05,161,406.25
5.48,00:00:05,161,351.56
5.48,00:00:05,,367.19
5.48,00:00:05,,375.00
5.48,00:00:05,,375.00
5.48,00:00:05,,378.91
5.48,00:00:05,,363.28
6.44,00:00:06,161,375.00
6.44,00:00:06,,375.00
9.33,00:00:09,161,375.00
9.33,00:00:09,161,367.19
9.33,00:00:09,,367.19
9.33,00:00:09,,378.91
9.33,00:00:09,,375.00
9.33,00:00:09,,367.19
12.33,00:00:12,161,367.19
12.33,00:00:12,161,378.91
12.33,00:00:12,162,375.00
12.33,00:00:12,162,367.19
12.33,00:00:12,,367.19
12.33,00:00:12,,371.09
12.33,00:00:12,,371.09
12.33,00:00:12,,367.19
12.33,00:00:12,,371.09
12.33,00:00:12,,375.00
14.24,00:00:14,162,738.28
14.24,00:00:14,162,367.19
14.24,00:00:14,,375.00
14.24,00:00:14,,371.09
14.24,00:00:14,,371.09
15.17,00:00:15,162,363.28
15.17,00:00:15,,375.00
15.17,00:00:15,,371.09
18.16,00:00:18,162,367.19
18.16,00:00:18,163,362.30
18.16,00:00:18,,371.09
18.16,00:00:18,,371.09
18.16,00:00:18,,363.28
20.12,00:00:20,163,363.28
20.12,00:00:20,163,367.19
20.12,00:00:20,,375.00
20.12,00:00:20,,367.19
20.12,00:00:20,,363.28
22.08,00:00:22,164,363.28
22.08,00:00:22,164,371.09
22.08,00:00:22,163,390.62
22.08,00:00:22,,343.75
22.08,00:00:22,,367.19
22.08,00:00:22,,367.19
22.08,00:00:22,,371.09
22.08,00:00:22,,363.28
22.08,00:00:22,,367.19
27.86,00:00:27,163,734.38
27.86,00:00:27,163,367.19
27.86,00:00:27,,363.28
27.86,00:00:27,,371.09
28.91,00:00:28,164,367.19
28.91,00:00:28,,359.38
28.91,00:00:28,,367.19
29.83,00:00:29,164,367.19
29.83,00:00:29,164,367.19
29.83,00:00:29,164,359.38
29.83,00:00:29,165,363.28
29.83,00:00:29,165,371.09
29.83,00:00:29,,363.28
29.83,00:00:29,,359.38
29.83,00:00:29,,367.19
29.83,00:00:29,,367.19
29.83,00:00:29,,359.38
29.83,00:00:29,,339.84
29.83,00:00:29,,390.62
29.83,00:00:29,,390.62
29.83,00:00:29,,339.84
33.73,00:00:33,165,359.38
33.73,00:00:33,165,367.19
33.73,00:00:33,165,367.19
33.73,00:00:33,165,359.38
33.73,00:00:33,,363.28
33.73,00:00:33,,367.19
33.73,00:00:33,,726.56
33.73,00:00:33,,359.38
33.73,00:00:33,,358.40
33.73,00:00:33,,367.19
37.65,00:00:37,165,363.28
37.65,00:00:37,166,359.38
37.65,00:00:37,166,363.28
37.65,00:00:37,,363.28
37.65,00:00:37,,363.28
37.65,00:00:37,,308.59
37.65,00:00:37,,417.97
37.65,00:00:37,,363.28
38.57,00:00:38,165,363.28
38.57,00:00:38,,359.38
38.57,00:00:38,,363.28
39.6,00:00:39,165,726.56
40.54,00:00:40,166,359.38
40.54,00:00:40,,363.28
40.54,00:00:40,,367.19
43.47,00:00:43,166,359.38
43.47,00:00:43,165,359.38
43.47,00:00:43,,363.28
43.47,00:00:43,,367.19
43.47,00:00:43,,382.81
43.47,00:00:43,,339.84
44.52,00:00:44,166,359.38
44.52,00:00:44,166,359.38
44.52,00:00:44,,363.28
44.52,00:00:44,,363.28
44.52,00:00:44,,359.38
45.46,00:00:45,166,359.38
45.46,00:00:45,,359.38
45.46,00:00:45,,363.28
47.42,00:00:47,166,363.28
47.42,00:00:47,166,359.38
47.42,00:00:47,,355.47
47.42,00:00:47,,730.47
49.27,00:00:49,166,351.56
49.27,00:00:49,166,363.28
49.27,00:00:49,,363.28
49.27,00:00:49,,363.28
49.27,00:00:49,,355.47
49.27,00:00:49,,359.38
50.32,00:00:50,166,367.19
50.32,00:00:50,,355.47
50.32,00:00:50,,363.28
51.25,00:00:51,166,343.75
51.25,00:00:51,,378.91
51.25,00:00:51,,363.28
52.28,00:00:52,166,354.49
52.28,00:00:52,,363.28
53.22,00:00:53,166,363.28
53.22,00:00:53,,359.38
53.22,00:00:53,,355.47
54.26,00:00:54,166,363.28
54.26,00:00:54,,726.56
55.19,00:00:55,166,351.56
55.19,00:00:55,,359.38
55.19,00:00:55,,363.28
56.13,00:00:56,166,695.31
59.12,00:00:59,167,382.81
59.12,00:00:59,167,363.28
59.12,00:00:59,,355.47
59.12,00:00:59,,359.38
59.12,00:00:59,,359.38
61,00:01:01,167,726.56
61,00:01:01,167,355.47
61,00:01:01,167,359.38
61,00:01:01,,359.38
61,00:01:01,,367.19
61,00:01:01,,355.47
61,00:01:01,,726.56
63.93,00:01:03,167,359.38
63.93,00:01:03,166,359.38
63.93,00:01:03,166,363.28
63.93,00:01:03,,363.28
63.93,00:01:03,,359.38
63.93,00:01:03,,359.38
63.93,00:01:03,,363.28
63.93,00:01:03,,363.28
63.93,00:01:03,,359.38
65.9,00:01:05,166,355.47
65.9,00:01:05,,363.28
66.93,00:01:06,166,722.66
66.93,00:01:06,,355.47
67.86,00:01:07,166,359.38
67.86,00:01:07,,363.28
67.86,00:01:07,,355.47
70.74,00:01:10,167,335.94
70.74,00:01:10,167,378.91
70.74,00:01:10,167,363.28
70.74,00:01:10,167,355.47
70.74,00:01:10,,359.38
70.74,00:01:10,,351.56
70.74,00:01:10,,362.30
70.74,00:01:10,,265.62
70.74,00:01:10,,441.41
70.74,00:01:10,,359.38
70.74,00:01:10,,359.38
82.52,00:01:22,167,355.47
82.52,00:01:22,168,335.94
82.52,00:01:22,,742.19
82.52,00:01:22,,355.47
82.52,00:01:22,,351.56
83.45,00:01:23,168,359.38
83.45,00:01:23,,359.38
84.4,00:01:24,168,382.81
84.4,00:01:24,168,328.12
84.4,00:01:24,,355.47
84.4,00:01:24,,363.28
84.4,00:01:24,,355.47
84.4,00:01:24,,351.56
85.43,00:01:25,168,359.38
85.43,00:01:25,168,359.38
85.43,00:01:25,168,359.38
85.43,00:01:25,168,351.56
85.43,00:01:25,,351.56
85.43,00:01:25,,355.47
85.43,00:01:25,,359.38
85.43,00:01:25,,359.38
85.43,00:01:25,,304.69
85.43,00:01:25,,398.44
85.43,00:01:25,,359.38
87.38,00:01:27,168,359.38
87.38,00:01:27,168,351.56
87.38,00:01:27,169,351.56
87.38,00:01:27,169,359.38
87.38,00:01:27,,359.38
87.38,00:01:27,,355.47
87.38,00:01:27,,347.66
87.38,00:01:27,,355.47
87.38,00:01:27,,363.28
87.38,00:01:27,,351.56
87.38,00:01:27,,351.56
87.38,00:01:27,,359.38
89.35,00:01:29,169,710.94
89.35,00:01:29,169,332.03
89.35,00:01:29,,375.00
89.35,00:01:29,,359.38
90.29,00:01:30,169,351.56
90.29,00:01:30,169,355.47
90.29,00:01:30,169,1057.62
90.29,00:01:30,169,351.56
90.29,00:01:30,,355.47
90.29,00:01:30,,355.47
90.29,00:01:30,,328.12
90.29,00:01:30,,378.91
90.29,00:01:30,,355.47
90.29,00:01:30,,351.56
91.22,00:01:31,170,347.66
91.22,00:01:31,,355.47
93.17,00:01:33,170,359.38
93.17,00:01:33,170,351.56
93.17,00:01:33,,347.66
93.17,00:01:33,,355.47
93.17,00:01:33,,355.47
93.17,00:01:33,,351.56
94.21,00:01:34,170,347.66
94.21,00:01:34,,710.94
97.09,00:01:37,170,351.56
97.09,00:01:37,170,343.75
97.09,00:01:37,,359.38
97.09,00:01:37,,351.56
97.09,00:01:37,,351.56
97.09,00:01:37,,351.56
99.05,00:01:39,170,355.47
99.05,00:01:39,171,343.75
99.05,00:01:39,171,347.66
99.05,00:01:39,,355.47
99.05,00:01:39,,351.56
99.05,00:01:39,,347.66
99.05,00:01:39,,351.56
100.08,00:01:40,171,726.56
100.08,00:01:40,,226.56
100.08,00:01:40,,445.31
101.01,00:01:41,171,703.12
102.04,00:01:42,171,691.41
102.04,00:01:42,,355.47
102.04,00:01:42,,347.66
102.97,00:01:42,171,328.12
102.97,00:01:42,,375.00
102.97,00:01:42,,347.66
103.9,00:01:43,172,273.44
103.9,00:01:43,,421.88
104.92,00:01:44,172,351.56
104.92,00:01:44,,347.66
104.92,00:01:44,,347.66
105.85,00:01:45,172,346.68
105.85,00:01:45,,355.47
105.85,00:01:45,,347.66
106.87,00:01:46,172,343.75
106.87,00:01:46,,351.56
106.87,00:01:46,,351.56
110.73,00:01:50,172,343.75
110.73,00:01:50,,347.66
110.73,00:01:50,,351.56
111.77,00:01:51,172,347.66
111.77,00:01:51,172,347.66
111.77,00:01:51,172,332.03
111.77,00:01:51,,390.62
111.77,00:01:51,,671.88
111.77,00:01:51,,347.66
111.77,00:01:51,,347.66
114.65,00:01:54,172,707.03
114.65,00:01:54,172,343.75
114.65,00:01:54,172,351.56
114.65,00:01:54,,347.66
114.65,00:01:54,,347.66
114.65,00:01:54,,347.66
114.65,00:01:54,,351.56
114.65,00:01:54,,371.09
117.55,00:01:57,172,328.12
117.55,00:01:57,172,351.56
117.55,00:01:57,,695.31
117.55,00:01:57,,347.66
117.55,00:01:57,,351.56
121.46,00:02:01,172,371.09
121.46,00:02:01,172,328.12
121.46,00:02:01,172,324.22
121.46,00:02:01,,367.19
121.46,00:02:01,,347.66
121.46,00:02:01,,703.12
121.46,00:02:01,,343.75
123.43,00:02:03,172,347.66
123.43,00:02:03,172,347.66
123.43,00:02:03,,355.47
123.43,00:02:03,,324.22
123.43,00:02:03,,367.19
123.43,00:02:03,,347.66
126.31,00:02:06,172,367.19
126.31,00:02:06,,324.22
126.31,00:02:06,,347.66
129.3,00:02:09,172,1046.88
129.3,00:02:09,172,346.68
129.3,00:02:09,,347.66
129.3,00:02:09,,351.56
131.27,00:02:11,172,343.75
131.27,00:02:11,172,351.56
131.27,00:02:11,172,347.66
131.27,00:02:11,,347.66
131.27,00:02:11,,347.66
131.27,00:02:11,,351.56
131.27,00:02:11,,347.66
131.27,00:02:11,,347.66
132.2,00:02:12,172,343.75
132.2,00:02:12,172,351.56
132.2,00:02:12,172,347.66
132.2,00:02:12,,699.22
132.2,00:02:12,,343.75
132.2,00:02:12,,1046.88
134.15,00:02:14,172,343.75
134.15,00:02:14,172,351.56
134.15,00:02:14,173,1042.97
134.15,00:02:14,172,332.03
134.15,00:02:14,,714.84
134.15,00:02:14,,343.75
134.15,00:02:14,,351.56
134.15,00:02:14,,375.00
134.15,00:02:14,,320.31
136.1,00:02:16,172,332.03
136.1,00:02:16,172,718.75
136.1,00:02:16,,343.75
136.1,00:02:16,,226.56
137.05,00:02:17,172,464.84
137.05,00:02:17,,375.00
137.05,00:02:17,,320.31
138.07,00:02:18,173,347.66
138.07,00:02:18,,347.66
138.07,00:02:18,,347.66
140.95,00:02:20,173,343.75
140.95,00:02:20,172,355.47
140.95,00:02:20,,343.75
140.95,00:02:20,,351.56
140.95,00:02:20,,347.66
140.95,00:02:20,,351.56
143.86,00:02:23,172,343.75
143.86,00:02:23,172,347.66
143.86,00:02:23,172,346.68
143.86,00:02:23,172,351.56
143.86,00:02:23,,347.66
143.86,00:02:23,,347.66
143.86,00:02:23,,351.56
143.86,00:02:23,,347.66
143.86,00:02:23,,378.91
143.86,00:02:23,,328.12
143.86,00:02:23,,324.22
144.88,00:02:24,172,371.09
144.88,00:02:24,,355.47
144.88,00:02:24,,351.56
146.86,00:02:26,171,300.78
146.86,00:02:26,171,398.44
146.86,00:02:26,,347.66
146.86,00:02:26,,347.66
146.86,00:02:26,,351.56
146.86,00:02:26,,351.56
147.78,00:02:27,171,703.12
147.78,00:02:27,,351.56
148.8,00:02:28,171,351.56
148.8,00:02:28,,351.56
148.8,00:02:28,,355.47
149.75,00:02:29,171,351.56
149.75,00:02:29,,351.56
150.78,00:02:30,171,347.66
150.78,00:02:30,,347.66
151.71,00:02:31,171,707.03
151.71,00:02:31,,324.22
151.71,00:02:31,,371.09
152.73,00:02:32,171,375.00
152.73,00:02:32,,328.12
152.73,00:02:32,,347.66
154.68,00:02:34,171,1050.78
156.64,00:02:36,172,347.66
156.64,00:02:36,,351.56
156.64,00:02:36,,351.56
157.58,00:02:37,172,347.66
157.58,00:02:37,,347.66
157.58,00:02:37,,351.56
160.48,00:02:40,172,347.66
160.48,00:02:40,172,695.31
160.48,00:02:40,172,1046.88
160.48,00:02:40,,347.66
160.48,00:02:40,,347.66
162.45,00:02:42,173,346.68
162.45,00:02:42,173,343.75
162.45,00:02:42,,226.56
162.45,00:02:42,,472.66
162.45,00:02:42,,347.66
162.45,00:02:42,,324.22
163.38,00:02:43,173,363.28
163.38,00:02:43,172,351.56
163.38,00:02:43,,597.66
163.38,00:02:43,,437.50
163.38,00:02:43,,351.56
167.29,00:02:47,172,343.75
167.29,00:02:47,,347.66
167.29,00:02:47,,347.66
168.32,00:02:48,172,347.66
168.32,00:02:48,,347.66
171.21,00:02:51,173,343.75
171.21,00:02:51,173,347.66
171.21,00:02:51,173,347.66
171.21,00:02:51,,691.41
171.21,00:02:51,,347.66
171.21,00:02:51,,355.47
171.21,00:02:51,,363.28
171.21,00:02:51,,324.22
172.23,00:02:52,172,347.66
172.23,00:02:52,172,351.56
172.23,00:02:52,172,347.66
172.23,00:02:52,173,339.84
172.23,00:02:52,,351.56
172.23,00:02:52,,687.50
172.23,00:02:52,,343.75
172.23,00:02:52,,351.56
172.23,00:02:52,,343.75
172.23,00:02:52,,343.75
172.23,00:02:52,,343.75
173.17,00:02:53,173,1042.97
175.15,00:02:55,174,343.75
175.15,00:02:55,174,347.66
175.15,00:02:55,,367.19
175.15,00:02:55,,324.22
175.15,00:02:55,,335.94
176.09,00:02:56,174,351.56
176.09,00:02:56,,347.66
176.09,00:02:56,,343.75
178.95,00:02:58,174,339.84
178.95,00:02:58,174,351.56
178.95,00:02:58,174,690.43
178.95,00:02:58,,339.84
178.95,00:02:58,,347.66
178.95,00:02:58,,667.97
178.95,00:02:58,,363.28
180.91,00:03:00,174,355.47
180.91,00:03:00,174,339.84
180.91,00:03:00,,367.19
180.91,00:03:00,,324.22
180.91,00:03:00,,347.66
180.91,00:03:00,,347.66
181.94,00:03:01,174,343.75
181.94,00:03:01,,339.84
181.94,00:03:01,,347.66
183.94,00:03:03,174,347.66
183.94,00:03:03,174,343.75
183.94,00:03:03,,343.75
183.94,00:03:03,,343.75
184.9,00:03:04,174,695.31
184.9,00:03:04,,339.84
184.9,00:03:04,,351.56
186.83,00:03:06,174,691.41
186.83,00:03:06,174,339.84
186.83,00:03:06,,351.56
186.83,00:03:06,,691.41
187.75,00:03:07,174,324.22
187.75,00:03:07,,714.84
190.74,00:03:10,174,335.94
190.74,00:03:10,,367.19
190.74,00:03:10,,320.31
193.64,00:03:13,173,238.28
193.64,00:03:13,174,449.22
193.64,00:03:13,,347.66
193.64,00:03:13,,347.66
193.64,00:03:13,,339.84
193.64,00:03:13,,343.75
194.57,00:03:14,173,351.56
194.57,00:03:14,173,363.28
194.57,00:03:14,173,324.22
194.57,00:03:14,,343.75
194.57,00:03:14,,351.56
194.57,00:03:14,,367.19
194.57,00:03:14,,324.22
195.61,00:03:15,173,699.22
195.61,00:03:15,,371.09
195.61,00:03:15,,323.24
196.55,00:03:16,172,351.56
196.55,00:03:16,,667.97
198.52,00:03:18,172,371.09
198.52,00:03:18,,347.66
198.52,00:03:18,,371.09
199.45,00:03:19,172,300.78
199.45,00:03:19,173,371.09
199.45,00:03:19,,351.56
199.45,00:03:19,,347.66
199.45,00:03:19,,343.75
199.45,00:03:19,,343.75
200.42,00:03:20,173,347.66
200.42,00:03:20,,347.66
200.42,00:03:20,,343.75
201.46,00:03:21,173,343.75
201.46,00:03:21,,347.66
