Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],HR[bpm],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH],RR[ms],Time
1,00:00:01,0.0,0.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.97,2021-12-02 17:04:07
2,00:00:02,0.0,0.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.16,2021-12-02 17:04:08
3,00:00:03,1.54,118.67,90,15.05,0.42,6.32,53.26,17.9,1012.4,22.95,30.7,660.16,2021-12-02 17:04:09
4,00:00:04,1.54,118.67,90,15.05,0.42,6.32,53.26,17.9,1012.4,22.95,30.7,662.76,2021-12-02 17:04:10
5,00:00:05,1.54,118.67,90,15.05,0.42,6.32,53.26,17.9,1012.4,22.95,30.7,656.25,2021-12-02 17:04:11
6,00:00:06,1.54,118.67,90,15.05,0.42,6.32,53.26,17.9,1012.4,22.95,30.7,660.16,2021-12-02 17:04:12
7,00:00:07,1.65,127.5,90,13.02,0.72,9.5,74.51,19.04,1012.3,22.95,30.77,660.16,2021-12-02 17:04:13
8,00:00:08,1.65,127.5,91,13.02,0.72,9.5,74.51,19.04,1012.3,22.95,30.77,708.33,2021-12-02 17:04:14
9,00:00:09,1.65,127.5,91,13.02,0.72,9.5,74.51,19.04,1012.3,22.95,30.77,757.81,2021-12-02 17:04:15
10,00:00:10,1.65,127.5,90,13.02,0.72,9.5,74.51,19.04,1012.3,22.95,30.77,757.81,2021-12-02 17:04:16
11,00:00:11,1.65,127.5,90,13.02,0.72,9.5,74.51,19.04,1012.3,22.95,30.77,734.38,2021-12-02 17:04:17
12,00:00:12,1.65,127.5,90,13.02,0.72,9.5,74.51,19.04,1012.3,22.95,30.77,741.7,2021-12-02 17:04:18
13,00:00:13,2.77,213.67,83,11.05,1.11,12.34,57.75,18.63,1012.4,22.96,30.84,794.92,2021-12-02 17:04:19
14,00:00:14,2.77,213.67,82,11.05,1.11,12.34,57.75,18.63,1012.4,22.96,30.84,855.47,2021-12-02 17:04:20
15,00:00:15,2.77,213.67,82,11.05,1.11,12.34,57.75,18.63,1012.4,22.96,30.84,843.75,2021-12-02 17:04:21
16,00:00:16,2.77,213.67,81,11.05,1.11,12.34,57.75,18.63,1012.4,22.96,30.84,804.69,2021-12-02 17:04:22
17,00:00:17,2.77,213.67,81,11.05,1.11,12.34,57.75,18.63,1012.4,22.96,30.84,804.69,2021-12-02 17:04:23
18,00:00:18,2.77,213.67,80,11.05,1.11,12.34,57.75,18.63,1012.4,22.96,30.84,743.49,2021-12-02 17:04:24
19,00:00:19,2.51,193.67,79,9.41,1.07,10.11,52.2,18.37,1012.4,22.96,30.85,750.0,2021-12-02 17:04:25
20,00:00:20,2.51,193.67,79,9.41,1.07,10.11,52.2,18.37,1012.4,22.96,30.85,750.0,2021-12-02 17:04:26
21,00:00:21,2.51,193.67,79,9.41,1.07,10.11,52.2,18.37,1012.4,22.96,30.85,750.0,2021-12-02 17:04:27
22,00:00:22,2.51,193.67,79,9.41,1.07,10.11,52.2,18.37,1012.4,22.96,30.85,750.0,2021-12-02 17:04:28
23,00:00:23,2.51,193.67,79,9.41,1.07,10.11,52.2,18.37,1012.4,22.96,30.85,750.0,2021-12-02 17:04:29
24,00:00:24,2.51,193.67,79,9.41,1.07,10.11,52.2,18.37,1012.4,22.96,30.85,847.66,2021-12-02 17:04:30
25,00:00:25,2.51,193.67,78,9.41,1.07,10.11,52.2,18.37,1012.4,22.96,30.85,818.75,2021-12-02 17:04:31
